SegmentID,RBoro
"0078126","2"
"0079796","2"
"0077356","2"
"0077356","2"
"0077356","2"
"0077356","2"
"0073490","2"
"0174633","2"
"0078173","2"
"0078219","2"
"0078218","2"
"0080816","2"
"0079587","2"
"0078137","2"
"0078137","2"
"0078137","2"
"0176643","2"
"0078339","2"
"0073071","2"
"0072377","2"
"9000277","2"
"9000277","2"
"9000277","2"
"0079708","2"
"0077201","2"
"0077202","2"
"0077202","2"
"0078338","2"
"0113549","2"
"0077204","2"
"0072393","2"
"0080884","2"
"0080819","2"
"0107127","2"
"0070575","2"
"0070576","2"
"0130818","2"
"0073402","2"
"9003096","2"
"9003096","2"
"0080858","2"
"0077251","2"
"0116474","2"
"0079811","2"
"0079860","2"
"0077239","2"
"0175816","2"
"0079668","2"
"0079668","2"
"0079668","2"
"0078274","2"
"0176245","2"
"0077339","2"
"0078397","2"
"0175818","2"
"0175844","2"
"0077242","2"
"0081423","2"
"0175861","2"
"0077324","2"
"0077324","2"
"0081457","2"
"0081457","2"
"0078344","2"
"0078374","2"
"0077274","2"
"0080825","2"
"9002660","2"
"9002656","2"
"0080926","2"
"0113652","2"
"0079822","2"
"0079822","2"
"0079764","2"
"0078121","2"
"0078163","2"
"0078163","2"
"0078162","2"
"0078162","2"
"0078288","2"
"0080943","2"
"0081031","2"
"0081442","2"
"0077320","2"
"0116537","2"
"0116537","2"
"0116537","2"
"0116537","2"
"0116537","2"
"0085257","2"
"0085257","2"
"0085257","2"
"0085257","2"
"0085257","2"
"0085257","2"
"0117740","2"
"0095119","2"
"0085252","2"
"0085252","2"
"0085252","2"
"0085252","2"
"0085252","2"
"0085252","2"
"0085898","2"
"0087776","2"
"0119835","2"
"0080849","2"
"0093841","2"
"0073117","2"
"0069859","2"
"0095574","2"
"0173490","2"
"0121127","2"
"0176444","2"
"0099520","2"
"0080901","2"
"0077193","2"
"0077194","2"
"0080919","2"
"0079596","2"
"0079596","2"
"0176649","2"
"0079816","2"
"0078290","2"
"0085876","2"
